Image;Detector;Descriptor;TTC_LiDAR;TTC_Cam;delta_TTC;
32;FAST;ORB;9.31616;12.973;3.6568
33;FAST;ORB;7.12001;13.0109;5.8909
34;FAST;ORB;10.6472;9.8416;0.805573
35;FAST;ORB;8.07823;8.81553;0.737298
36;FAST;ORB;9.679;8.55172;1.12728
37;FAST;ORB;6.54697;7.98345;1.43647
38;FAST;ORB;6.29294;7.5898;1.29687
39;FAST;ORB;6.93814;7.45806;0.519921
40;FAST;ORB;5.75891;6.53207;0.773158
41;FAST;ORB;5.72358;6.92394;1.20036
42;FAST;ORB;6.1889;6.66547;0.476569
43;FAST;ORB;6.8625;6.93313;0.0706337
44;FAST;ORB;5.57932;7.29551;1.7162
45;FAST;ORB;6.83427;8.11372;1.27945
46;FAST;ORB;7.74264;9.34611;1.60347
47;FAST;ORB;8.4873;8.81031;0.323006
48;FAST;ORB;8.70747;11.3457;2.63821
49;FAST;ORB;19.9654;11.9975;7.96789
50;FAST;ORB;10.3363;14.5745;4.2382
51;FAST;ORB;19.6741;17.9075;1.76664
52;FAST;ORB;30.0669;1144.72;1114.65
53;FAST;ORB;20.3997;-inf;inf
54;FAST;ORB;-49.965;-inf;inf
55;FAST;ORB;-50.0676;-inf;inf
56;FAST;ORB;29.9403;-inf;inf
57;FAST;ORB;448.818;-inf;inf
58;FAST;ORB;-112.345;-inf;inf
59;FAST;ORB;64.1003;-inf;inf
60;FAST;ORB;-149.678;-inf;inf
61;FAST;ORB;-64.2388;-inf;inf
62;FAST;ORB;89.8379;-inf;inf
63;FAST;ORB;112.195;-inf;inf
64;FAST;ORB;448.733;-inf;inf
65;FAST;ORB;-40.8903;-inf;inf
66;FAST;ORB;34.5;-inf;inf
67;FAST;ORB;-112.233;-inf;inf
68;FAST;ORB;-224.513;-inf;inf
69;FAST;ORB;448.818;-inf;inf
70;FAST;ORB;nan;-inf;nan
71;FAST;ORB;224.416;-inf;inf
72;FAST;ORB;-112.295;-inf;inf
73;FAST;ORB;449.133;-inf;inf
74;FAST;ORB;448.818;-inf;inf
75;FAST;ORB;448.933;-inf;inf
76;FAST;ORB;-224.513;-inf;inf
77;FAST;ORB;-0.129599;-inf;inf
1;BRISK;BRIEF;12.5156;15.418;2.90243
2;BRISK;BRIEF;12.6142;22.2402;9.62593
3;BRISK;BRIEF;14.091;38.6249;24.5338
4;BRISK;BRIEF;16.6894;25.7152;9.02578
5;BRISK;BRIEF;15.9082;45.4177;29.5095
6;BRISK;BRIEF;12.6787;63.3462;50.6674
7;BRISK;BRIEF;12.1762;17.8689;5.69279
8;BRISK;BRIEF;13.1258;25.0858;11.96
9;BRISK;BRIEF;13.0258;19.9327;6.90682
10;BRISK;BRIEF;11.1761;16.9218;5.74568
11;BRISK;BRIEF;12.5915;20.2105;7.61894
12;BRISK;BRIEF;9.07162;15.9164;6.84481
13;BRISK;BRIEF;9.82975;14.1712;4.34143
14;BRISK;BRIEF;9.59863;18.2633;8.66471
15;BRISK;BRIEF;8.57352;13.2322;4.65864
16;BRISK;BRIEF;9.64795;15.7949;6.14694
17;BRISK;BRIEF;9.68194;18.032;8.35002
18;BRISK;BRIEF;8.40119;14.5004;6.09923
19;BRISK;BRIEF;8.62025;15.3123;6.69205
20;BRISK;BRIEF;7.63865;14.036;6.39733
